Name,address1,city,zip,country,latitude,longitude,price_level,provider_rating,provider_review_count,review_stats_all_average_score,review_stats_all_count,review_stats_all_total_score,review_stats_community_average_score,review_stats_community_count,review_stats_community_total_score,review_stats_critic_average_score,review_stats_critic_count,review_stats_critic_total_score,review_stats_dave_average_score,review_stats_dave_count,review_stats_dave_total_score
Tavola,488 9th Ave,New York,10018,US,40.7554122,-73.9945527,2,4,812,5.15,2,10.3,4,1,4,0,0,0,6.3,1,6.3
Vinny Vincenz,231 1st Ave,New York,10003,US,40.7312068,-73.9831636,1,3.5,185,7.496296296,27,202.4,7.461538462,26,194,0,0,0,8.4,1,8.4
Sauce Pizzeria,345 E 12th St,New York,10003,US,40.7304367,-73.9839514,0,4.5,98,8.942971888,249,2226.8,8.94233871,248,2217.7,0,0,0,9.1,1,9.1
Pisa Pizza,321 1st Ave,New York,10003,US,40.7342727,-73.9807805,1,4,32,5.9,2,11.8,3.7,1,3.7,0,0,0,8.1,1,8.1
Frank's Trattoria,371 1st Ave,New York,10010,US,40.7360768,-73.9793407,2,3.5,116,7.871428571,7,55.1,7.883333333,6,47.3,0,0,0,7.8,1,7.8
Pepe Giallo,195 10th Ave,New York,10011,US,40.746892,-74.005017,2,4,553,7.7,3,23.1,7.7,2,15.4,0,0,0,7.7,1,7.7
Don Giovanni Ristorante,214 10th Ave,New York,10011,US,40.7473469,-74.0042175,2,3,241,6.7,5,33.5,7.225,4,28.9,0,0,0,4.6,1,4.6
Ovest Pizzoteca by Luzzo's,513 W 27th St,New York,10001,US,40.7507787,-74.0030054,2,4,486,7.65,2,15.3,8.4,1,8.4,0,0,0,6.9,1,6.9
10th Avenue Pizza &amp; Cafe,256 10th Ave,New York,10001,US,40.748746,-74.0031343,1,3.5,24,5.34,5,26.7,4.95,4,19.8,0,0,0,6.9,1,6.9
Stella's Pizza,110 9th Ave,New York,10011,US,40.7429242,-74.0036349,1,3,117,6.171428571,7,43.2,6.166666667,6,37,0,0,0,6.2,1,6.2
Gotham Pizza,144 9th Ave,New York,10011,US,40.7438893,-74.003031,1,3.5,149,6.9,4,27.6,6.9,3,20.7,0,0,0,6.9,1,6.9
Highline Pizza,503 W 28th St,New York,10001,US,40.7510941,-74.0022306,1,4,106,4.3,3,12.9,5.6,2,11.2,0,0,0,1.7,1,1.7
Rocky's Pizza 14th St,304 W 14th St,New York,10014,US,40.739882,-74.0033717,1,3,137,5.38,5,26.9,6.375,4,25.5,0,0,0,1.4,1,1.4
Village Pizza,65 8th Ave,New York,10014,US,40.7392653,-74.0031865,1,4,122,7.5,5,37.5,7.65,4,30.6,0,0,0,6.9,1,6.9
Pizza Italia,307 W 17th St,New York,10011,US,40.741945,-74.0014362,1,4,196,4.075,4,16.3,4.033333333,3,12.1,0,0,0,4.2,1,4.2
Famous Original Ray's Pizza,204 9th Ave,New York,10011,US,40.7459915,-74.0013473,1,3,106,5.828571429,7,40.8,5.766666667,6,34.6,0,0,0,6.2,1,6.2
Company,230 9th Ave,New York,10001,US,40.7471546,-74.0005218,2,3.5,549,7.2,1,7.2,0,0,0,0,0,0,7.2,1,7.2
Two Boots West Village,201 W 11th St,New York,10014,US,40.7367059,-74.0014372,1,3.5,234,6.6,1,6.6,0,0,0,0,0,0,6.6,1,6.6
Rivoli Pizza,180 7th Ave S,New York,10014,US,40.7360738,-74.0016678,1,3.5,14,6.255555556,9,56.3,6.0625,8,48.5,0,0,0,7.8,1,7.8
Pizza Rollio,261 W 18th St,New York,10011,US,40.7422264,-74.000314,2,4.5,36,6.4,3,19.2,6.3,2,12.6,0,0,0,6.6,1,6.6
Rosemary's Pizza,1 Perry St,New York,10014,US,40.7359857,-74.0009892,0,4,35,7.766666667,3,23.3,7.95,2,15.9,0,0,0,7.4,1,7.4
